Article URL,total_freq
https://talesfromtheloublog.wordpress.com/2017/06/08/father-of-famous-aleppo-boy-just-exposed-how-the-us-and-white-helmets-lied-to-the-world/,3
https://lzomedia.com/,1
https://uprootedpalestinians.wordpress.com/2017/06/22/oscar-winning-nobel-prize-nominated-white-helmets-graduate-to-beheadings/,8
https://www.sharjah24.ae/en/arabic/243962-,1
http://www.blacklistednews.com/John_Pilger%3A_The_White_Helmets_Are_A_%E2%80%9CComplete_Propaganda_Construct%E2%80%9D/58726/0/38/38/Y/M.html,3
http://www.middleeasteye.net/in-depth/features/we-have-lost-best-men-town-lives-syrias-murdered-aid-workers-1594734868#sthash.cegXuKTq.uxfs,279
http://english.alarabiya.net/en/News/middle-east/2017/08/12/Seven-White-Helmets-medics-killed-in-Syria-s-Idlib.html,1
http://www.cbsnews.com/news/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/,38
http://altnews.top/,3
https://urs17982.wordpress.com/2017/07/06/wem-leistet-israel-in-syrien-direkte-militaerhilfe-auch-durch-die-luftwaffe-daraa-kriegsverbrecher/,5
http://www.telegraph.co.uk/news/2017/09/01/old-fashioned-white-helmets-display-team-wound-army-looks-promote/,66
http://aa.com.tr/en/middle-east/syrian-regime-strikes-de-escalation-zone-white-helmet/874181,7
http://russia-insider.com/en/politics/fraud-white-helmets/ri20286,76
http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNG6bbdf5cWbqi0Lvz2cpG84C76a_w&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779537675857&ei=0VhMWfCoAoyhhgHkuaXIBg&url=http%3A%2F%2Fwww.newsweek.com%2Foscar-win-white-helmets-syria-volunteer-dump-bodies-rebels-628407,1
https://www.therussophile.org/white-helmets-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies-endorsed-by-channel-4.html/,1
http://www.theonlycolors.com/2017/6/14/15800264/go-white-msu-drops-new-uniform-look,2
http://www.mirror.co.uk/news/world-news/white-helmets-hero-who-rescued-10977334?ICID=FB_mirror_main,2
https://www.irishtimes.com/news/social-affairs/syria-civil-defence-to-be-honoured-with-award-in-tipperary-1.3182636,40
http://sinkers.org/stage/?p=2270#.WU-xFCbsPUI.twitter,1
https://www.linkedin.com/slink?code=dZKYDZ4,1
http://thefreethoughtproject.com/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/,157
https://worldaffairs.blog/2017/06/21/white-helmets-exposed-in-pics-and-videos/,14
https://m.kiblat.net/2017/05/31/tak-banyak-diketahui-ini-satu-aktivitas-relawan-white-helmets-di-suriah/,6
http://en.farsnews.com/newstext.aspx?nn=13960402000765,1
http://feeds.feedburner.com/~r/yahoo/gtty/~3/isDcB-eX-G8/seven-members-syria-apos-white-130042290.html,2
http://www.rightrelevance.com/search/articles/hero?article=040a8fd56dceb89e1330e377ae6c2578b92ebb2a&query=michigan%20state%20spartans&taccount=lansingmirr,1
http://news.quiboat.com/Ob75Ktk7,1
